sample	sample_name
SimonsH6_244A	SimonsH6_244A
SimonsH6_1534O	SimonsH6_1534O
SimonsH6_1863A	SimonsH6_1863A
SimonsH6_125A	SimonsH6_125A
SimonsH6_1745A	SimonsH6_1745A
SimonsH6_1152B	SimonsH6_1152B
SimonsH6_1527F	SimonsH6_1527F
SimonsH6_1751D	SimonsH6_1751D
SimonsH6_1638A	SimonsH6_1638A
SimonsH6_832G	SimonsH6_832G
SimonsH6_897A	SimonsH6_897A
SimonsH6_875A	SimonsH6_875A
SimonsH6_830C	SimonsH6_830C
SimonsH6_861A	SimonsH6_861A
SimonsH6_835D	SimonsH6_835D
SimonsH6_818H	SimonsH6_818H
SimonsH6_942A	SimonsH6_942A
SimonsH6_847A	SimonsH6_847A
SimonsH6_1696I	SimonsH6_1696I
SimonsH6_1751E	SimonsH6_1751E
SimonsH6_1520A	SimonsH6_1520A
SimonsH6_1751A2	SimonsH6_1751A2
SimonsH6_929A	SimonsH6_929A
SimonsH6_1694E	SimonsH6_1694E
SimonsH6_896B	SimonsH6_896B
SimonsH6_871A	SimonsH6_871A
SimonsH6_935A	SimonsH6_935A
SimonsH6_1759A	SimonsH6_1759A
SimonsH6_1527A	SimonsH6_1527A
SimonsH6_115A	SimonsH6_115A
SimonsH6_1519D	SimonsH6_1519D
SimonsH6_885A	SimonsH6_885A
SimonsH6_1571C	SimonsH6_1571C
SimonsH6_1751B1	SimonsH6_1751B1
SimonsH6_872A	SimonsH6_872A
SimonsH6_936A	SimonsH6_936A
SimonsH6_520A	SimonsH6_520A
SimonsH6_1751A3	SimonsH6_1751A3
SimonsH6_840A2	SimonsH6_840A2
SimonsH6_243A	SimonsH6_243A
SimonsH6_1745F	SimonsH6_1745F
SimonsH6_928B	SimonsH6_928B
SimonsH6_1694C	SimonsH6_1694C
SimonsH6_937A	SimonsH6_937A
SimonsH6_1694D	SimonsH6_1694D
SimonsH6_732A	SimonsH6_732A
SimonsH6_923A	SimonsH6_923A
SimonsH6_1751B2	SimonsH6_1751B2
SimonsH6_1745D	SimonsH6_1745D
SimonsH6_1750A	SimonsH6_1750A
SimonsH6_1759G	SimonsH6_1759G
SimonsH6_1147I	SimonsH6_1147I
SimonsH6_05C	SimonsH6_05C
SimonsH6_1907B	SimonsH6_1907B
SimonsH6_1751A1	SimonsH6_1751A1
SimonsH6_166A	SimonsH6_166A
SimonsH6_930A	SimonsH6_930A
SimonsH6_848A	SimonsH6_848A
SimonsH6_1694A	SimonsH6_1694A
SimonsH6_1799C	SimonsH6_1799C
SimonsH6_1790H	SimonsH6_1790H
SimonsH6_1147H	SimonsH6_1147H
SimonsH6_938A	SimonsH6_938A
SimonsH6_837E	SimonsH6_837E
SimonsH6_159A	SimonsH6_159A
SimonsH6_1126C	SimonsH6_1126C
SimonsH6_1905S	SimonsH6_1905S
SimonsH6_834D	SimonsH6_834D
SimonsH6_1745B	SimonsH6_1745B
SimonsH6_941A	SimonsH6_941A
SimonsH6_1399M	SimonsH6_1399M
SimonsH6_1126E	SimonsH6_1126E
SimonsH6_904A	SimonsH6_904A
SimonsH6_740A	SimonsH6_740A
SimonsH6_1693A	SimonsH6_1693A
SimonsH6_862A	SimonsH6_862A
SimonsH6_931A	SimonsH6_931A
SimonsH6_1572T	SimonsH6_1572T
SimonsH6_1161C	SimonsH6_1161C
SimonsL1_1695I	SimonsL1_1695I
SimonsL1_1917A	SimonsL1_1917A
SimonsL1_1518B	SimonsL1_1518B
SimonsL1_1660I	SimonsL1_1660I
SimonsL1_1935A	SimonsL1_1935A
SimonsL1_1518E	SimonsL1_1518E
SimonsL1_1907G	SimonsL1_1907G
SimonsL1_1905V	SimonsL1_1905V
SimonsL1_1932A	SimonsL1_1932A
SimonsL1_1833F	SimonsL1_1833F
SimonsL1_1759F	SimonsL1_1759F
SimonsL1_1836L	SimonsL1_1836L
SimonsL1_177A	SimonsL1_177A
SimonsL1_1775FF	SimonsL1_1775FF
SimonsL1_200A	SimonsL1_200A
SimonsL1_165B	SimonsL1_165B
SimonsL1_1760C	SimonsL1_1760C
SimonsL1_1755A	SimonsL1_1755A
SimonsL1_1753F	SimonsL1_1753F
SimonsL1_1900B	SimonsL1_1900B
SimonsL1_1775T	SimonsL1_1775T
SimonsL1_1755J	SimonsL1_1755J
SimonsL1_1825A	SimonsL1_1825A
SimonsL1_1761A	SimonsL1_1761A
SimonsL1_1785C	SimonsL1_1785C
SimonsL1_1774NN	SimonsL1_1774NN
SimonsL1_190A	SimonsL1_190A
SimonsL1_1795A	SimonsL1_1795A
SimonsL1_1675J	SimonsL1_1675J
SimonsL1_1791D	SimonsL1_1791D
SimonsL1_1798C	SimonsL1_1798C
SimonsL1_1790E	SimonsL1_1790E
SimonsL1_1904F	SimonsL1_1904F
SimonsL1_1397R	SimonsL1_1397R
SimonsL1_1399L	SimonsL1_1399L
SimonsL1_1657A	SimonsL1_1657A
SimonsL1_1395M	SimonsL1_1395M
SimonsL1_1397D	SimonsL1_1397D
SimonsL1_1397T	SimonsL1_1397T
SimonsL1_1798F	SimonsL1_1798F
SimonsL1_1942C	SimonsL1_1942C
SimonsL1_1397E3	SimonsL1_1397E3
SimonsL1_1282E	SimonsL1_1282E
SimonsL1_1258E	SimonsL1_1258E
SimonsL1_1273C	SimonsL1_1273C
SimonsL1_1799H	SimonsL1_1799H
SimonsL1_1683O	SimonsL1_1683O
SimonsL1_1902Y	SimonsL1_1902Y
SimonsL1_1684A	SimonsL1_1684A
SimonsL1_1905I	SimonsL1_1905I
SimonsL1_1873C	SimonsL1_1873C
SimonsL1_1514A9	SimonsL1_1514A9
SimonsL1_1541B3	SimonsL1_1541B3
SimonsL1_1871J	SimonsL1_1871J
SimonsL1_1869A	SimonsL1_1869A
SimonsL1_1407CC	SimonsL1_1407CC
SimonsL1_1573P	SimonsL1_1573P
SimonsL1_1539F	SimonsL1_1539F
SimonsL1_1541H	SimonsL1_1541H
SimonsL1_1566F	SimonsL1_1566F
SimonsL1_1468A	SimonsL1_1468A
SimonsL1_1575W	SimonsL1_1575W
SimonsL1_1584B	SimonsL1_1584B
SimonsL1_1840C	SimonsL1_1840C
SimonsL1_1840K	SimonsL1_1840K
SimonsL1_1640Q	SimonsL1_1640Q
SimonsL1_1649E	SimonsL1_1649E
SimonsL1_1640N2	SimonsL1_1640N2
SimonsL1_1514W4	SimonsL1_1514W4
SimonsL1_1652R	SimonsL1_1652R
SimonsL1_1404B	SimonsL1_1404B
SimonsL1_527A	SimonsL1_527A
SimonsL1_536A	SimonsL1_536A
SimonsL1_1399EE	SimonsL1_1399EE
SimonsL1_828A	SimonsL1_828A
SimonsL1_943A	SimonsL1_943A
SimonsL1_831H	SimonsL1_831H
SimonsL1_1018A	SimonsL1_1018A
SimonsL1_831A	SimonsL1_831A
SimonsL1_834J	SimonsL1_834J
SimonsL2_1905R	SimonsL2_1905R
SimonsL2_1915A	SimonsL2_1915A
SimonsL2_1546P	SimonsL2_1546P
SimonsL2_1772A	SimonsL2_1772A
SimonsL2_1549B	SimonsL2_1549B
SimonsL2_1546Q	SimonsL2_1546Q
SimonsL2_1910A	SimonsL2_1910A
SimonsL2_1659G	SimonsL2_1659G
SimonsL2_1915H	SimonsL2_1915H
SimonsL2_1905Y	SimonsL2_1905Y
