sample_id,reads,notes
SimonsH6_1126C,2759,
SimonsH6_1126E,2780,
SimonsH6_1147H,1,
SimonsH6_1152B,468,
SimonsH6_115A,322,
SimonsH6_1161C,6,
SimonsH6_125A,499,
SimonsH6_1399M,315,
SimonsH6_1519D,308,
SimonsH6_1520A,34,
SimonsH6_1527A,11859,
SimonsH6_1527F,488,
SimonsH6_1534O,59,
SimonsH6_1571C,373,
SimonsH6_1572T,38,
SimonsH6_159A,69,
SimonsH6_1638A,5233,
SimonsH6_166A,97,
SimonsH6_1694A,3360,
SimonsH6_1694D,6223,
SimonsH6_1694E,91,
SimonsH6_1696I,1,
SimonsH6_1745A,12900,
SimonsH6_1745B,5981,
SimonsH6_1745D,164,
SimonsH6_1750A,15250,
SimonsH6_1751A1,93,
SimonsH6_1751A2,1,
SimonsH6_1751A3,9,
SimonsH6_1751B1,25335,
SimonsH6_1751B2,109,
SimonsH6_1751D,18,
SimonsH6_1751E,2,
SimonsH6_1759A,172,
SimonsH6_1759G,110,
SimonsH6_1794E,2340,
SimonsH6_1863A,94,
SimonsH6_1905S,34972,
SimonsH6_244A,61,
SimonsH6_520A,52,
SimonsH6_732A,46,
SimonsH6_740A,9,
SimonsH6_818H,42581,
SimonsH6_830C,25438,
SimonsH6_832G,169,
SimonsH6_834D,324,
SimonsH6_835D,7052,
SimonsH6_837E,531,
SimonsH6_840A2,15,
SimonsH6_847A,15,
SimonsH6_848A,2072,
SimonsH6_861A,1117,
SimonsH6_862A,37,
SimonsH6_871A,3532,
SimonsH6_872A,75,
SimonsH6_875A,288,
SimonsH6_885A,361,
SimonsH6_896B,61,
SimonsH6_897A,17083,
SimonsH6_904A,567,
SimonsH6_923A,400,
SimonsH6_928B,7,
SimonsH6_929A,186,
SimonsH6_930A,3641,
SimonsH6_931A,95,
SimonsH6_935A,4392,
SimonsH6_936A,187,
SimonsH6_937A,1458,
SimonsH6_938A,1023,
SimonsH6_941A,41617,
SimonsH6_942A,22686,
SimonsL1_1018A,1977,
SimonsL1_1258E,6,
SimonsL1_1273C,8,
SimonsL1_1282E,11,
